requirement,status,evidence,notes
SpeechOcean762 full parsing and speaker split,complete,"data/processed/speechocean/phones_aligned.csv; reports/phase1/data_manifest.csv","train/dev/test speakers are isolated"
L2-ARCTIC parsing and error-type support,complete,"data/processed/l2_arctic/phones.csv; scripts/prepare_l2_arctic.py","Used for TextGrid parsing and acoustic baseline"
Label specification,complete,docs/label_spec.md,"Binary and three-class labels retained"
GOP or equivalent acoustic evidence baseline,complete,"scripts/run_acoustic_baseline.py; artifacts/baseline_acoustic_v1; docs/baseline_results_v1.md","CPU Gaussian phone likelihood ratio baseline"
Self-supervised speech representation model,complete_pilot,"scripts/run_ssl_baseline.py; reports/phase1/ssl_eval_metrics.csv; artifacts/ssl_wav2vec2_v1","facebook/wav2vec2-base frozen embedding + logistic regression pilot; not selected as best model"
Fusion model,partial,"artifacts/baseline_acoustic_v1/fusion_classifier.joblib","GOP-equivalent + tabular fusion exists; SSL fusion not selected because SSL pilot underperformed"
Global threshold calibration,complete,reports/phase1/thresholds.csv,"Selected on dev"
Phone-group threshold calibration,complete,reports/phase1/thresholds.csv,"Selected on dev with fallback"
Target-phone threshold calibration,complete,reports/phase1/thresholds.csv,"Sparse phones fall back to phone_group"
Formal metrics,complete,reports/phase1/formal_eval_metrics.csv,"Includes Accuracy/Balanced Accuracy/Precision/Recall/Macro-F1/AUC"
Error-class precision and recall,complete,reports/phase1/formal_eval_metrics.csv,"Explicit error_precision/error_recall/error_f1 fields"
100 utterance prediction samples,complete,reports/phase1/prediction_samples_100_utterances.csv,"Test utterances"
Minimum demo script,complete,"scripts/demo_predict.py; reports/phase1/demo_prediction.csv","Manifest utterance demo works; new audio needs target phones"
Error analysis,complete,"reports/phase1/error_analysis_summary.md; error_analysis_by_phone_group.csv; error_analysis_by_target_phone.csv","Core phone groups reported"
Reproducibility,complete,"README.md; requirements.txt","Commands documented"
Internal pilot validation,needs_user_input,"Not available","Requires de-identified internal audio and labels"
Review alignment sample handling,partial,"alignment_quality field; docs/alignment_results_v1.md","Review rows retained but excluded from first-round training"
